tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.62261E+15,-2.171944444,29.64097222,871,871,120451,GS NYARUTOVU,PUBLIC,12YBE,RUHANGO,KINIHIRA,MUYUNZWE,NYARUTOVU,ON GRID,USB_MODEM,3G,48,2,269,e3b6f82e-fb49-4220-9a81-5006a913d491,G_RWA_00871,-2.171944444,29.64097222,23.85,65.14,11.01
2.62146E+15,-2.692333333,29.54947222,915,915,230309,EP NYARUSHISHI,GOVERNMENT_AIDED,PRIMARY,NYARUGURU,KIBEHO,NYANGE,MPATSWE,ON GRID,FOUR_G,4G,410,20,74,3dfb828b-1e37-450d-a222-507b48673675,G_RWA_00915,-2.692333333,29.54947222,27.1,64.49,8.41
2.63122E+15,-1.8011944,30.3296944,978,978,530904,Nyamiyaga,PUBLIC,PRIMARY,GATSIBO,MURAMBI,NYAMIYAGA,KABEZA,OFF GRID,NONE,None,414,20,176,c04f4580-3773-4412-8217-5beb53e7b633,G_RWA_00978,-1.8011944,30.3296944,29.26,61.17,9.57
2.62525E+15,-1.41536,29.85256,1095,1095,440210,KABYAZA,PUBLIC,PRIMARY,BURERA,BUTARO,MUBUGA,GACYAMO,ON GRID,NONE,None,1078,25,133,ef78fcde-ce49-4bdc-a3f1-1bb074186a40,G_RWA_01095,-1.41536,29.85256,40,49.09,10.91
2.61779E+15,-2.393583333,29.25622222,1301,1301,241109,EP MUNINI,PUBLIC,PRIMARY,NYAMASHEKE,CYATO,BISUMO,MUNINI,ON GRID,USB_MODEM,3G,411,17,84,3083cf1c-90a0-446e-afe0-ef5235987461,G_RWA_01301,-2.393583333,29.25622222,19.35,61.29,19.35
2.61744E+15,-2.21736,29.22775,1423,1423,370415,MBOGO,GOVERNMENT_AIDED,PRIMARY,NYAMASHEKE,GIHOMBO,BUTARE,GASHARU,ON GRID,USB_MODEM,3G,1485,24,139,d7207c1a-97d6-4a34-915a-9e4d68b66819,G_RWA_01423,-2.21736,29.22775,37.84,46.85,15.32
2.62209E+15,-2.63458,29.599837,1689,1689,230306,EP BANGA,GOVERNMENT_AIDED,PRIMARY,NYARUGURU,KIBEHO,MPANDA,BANGA,ON GRID,NONE,None,926,23,,fe14fa8b-685b-4183-904b-fb8a4098e8e9,G_RWA_01689,-2.63458,29.599837,27.37,63.16,9.47
2.63456E+15,-2.030083333,30.59594444,2119,2119,540505,GS SHYANDA,GOVERNMENT_AIDED,12YBE,KAYONZA,MURAMA,BUNYENTONGO,GISUNZU,ON GRID,NONE,None,531,20,,12c907a5-304f-4d27-b260-53e34b4c2bf3,G_RWA_02119,-2.030083333,30.59594444,39.13,49.57,11.3
2.61808E+15,-1.7405,29.2786666,2155,2155,330908,GS RAMBO,PUBLIC,12YBE,RUBAVU,NYAMYUMBA,KIRAGA,RAMBO,OFF GRID,NONE,None,591,15,,bd85e83f-51b7-4716-bb38-3426506216af,G_RWA_02155,-1.7405,29.2786666,33.83,57.89,8.27
2.62775E+15,-1.714805556,30.052,2171,2171,410405,GS SHAGASHA,PUBLIC,12YBE,RULINDO,BUYOGA,GAHORORO,BUNYANA,OFF GRID,NONE,None,679,20,,55e9978a-cf7c-42a1-9b94-914d9a80b3fb,G_RWA_02171,-1.714805556,30.052,40.09,53.6,6.31
2.62874E+15,-2.3724444,30.1316666,2417,2417,570304,Nyakayaga,GOVERNMENT_AIDED,12YBE,BUGESERA,KAMABUYE,KAMPEKA,MASANGANO,ON GRID,WIMAX,3.5G,1245,24,,32d31035-c337-4164-bf1c-907d91fd664b,G_RWA_02417,-2.3724444,30.1316666,43.1,44.83,12.07
2.62532E+15,-1.65122,29.85744,2471,2471,420506,ES NYACYINA,GOVERNMENT_AIDED,12YBE,GAKENKE,GASHENYI,NYACYINA,MUKIRA,ON GRID,NONE,None,2089,35,,10a1c684-f836-4334-bd96-209002b7f926,G_RWA_02471,-1.65122,29.85744,30.77,58.24,10.99
